ORISPL,NAMEPCAP,GENNTAN,weighted_coal_CAPFAC,weighted_coal_AGE,coal_FUELS,num_coal_GENS,YEAR,NONcoal_FUELS,PNAME,PLGENACL,PLSO2AN,PLPRMFL,PLCLPR,SECTOR,FIPSST,FIPSCNTY,LAT,LON
492.0,257.0,1843433.0,0.8233170478666705,39.085603112840545,"['BIT', 'BIT', 'BIT']",3,2009,0,Martin Drake,1837104.546,7980.049,BIT,99.6567,not reported,8,41.0,38.8244,-104.8331
508.0,43.5,0.0,0.0,21.264367816091863,"['SUB', 'SUB']",2,2009,0,Lamar Plant,32387.0,272.2972,SUB,67.2795,not reported,8,99.0,38.0921,-102.6148
511.0,3.7,0.0,0.0,59.0,['BIT'],1,2009,0,Trinidad,0.0,0.0075,DFO,0.0,not reported,8,71.0,37.1427,-104.5501
525.0,465.4,3229660.0,0.7987732059411826,37.490760636012055,"['BIT', 'BIT']",2,2009,0,Hayden,3225460.162,2429.622,BIT,99.87,not reported,8,107.0,40.4856,-107.185
527.0,113.8,647543.0,0.6527799639560616,27.701230228471104,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Nucla,644841.719,1171.005,BIT,99.5828,not reported,8,85.0,38.2387,-108.5083
564.0,929.0,5978775.0,0.7348746567147953,17.5,"['BIT', 'BIT']",2,2009,0,Stanton Energy Center,5882973.107,4596.8067,BIT,98.0519,not reported,12,95.0,28.4836,-81.1686
568.0,400.0,1008528.0,0.2878,41.0,['SUB'],1,2009,['JF'],Bridgeport Station,994939.512,1272.8691,SUB,98.8294,not reported,9,1.0,41.1706,-73.1843
593.0,251.8,544019.0,0.2742306983763435,46.574265289912546,"['BIT', 'BIT']",2,2009,['RFO'],Edge Moor,441241.684,2291.4024,BIT,75.7991,not reported,10,3.0,39.7372,-75.5033
594.0,782.4,2343588.0,0.3733852089616434,35.848670756646015,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,['DFO'],Indian River Generating Station,2316794.806,14229.6609,BIT,98.8359,not reported,10,5.0,38.5857,-75.2341
602.0,1370.0,6644359.0,0.5671446994661186,21.5,"['BIT', 'BIT']",2,2009,0,Brandon Shores,6621847.855,32820.566,BIT,99.6612,not reported,24,3.0,39.1792,-76.5383
628.0,2442.7,11137824.0,0.5300573975401298,32.067752896384945,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,['NUC'],Crystal River,11089602.533,67417.57,BIT,67.1058,not reported,12,17.0,28.9594,-82.7003
641.0,1135.1,3308240.0,0.34090329634488425,39.123337150911766,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Crist,3249036.724,29377.362,BIT,98.2104,not reported,12,33.0,30.5661,-87.2289
642.0,98.0,1745.0,0.03793060171919771,56.0,"['BIT', 'BIT']",2,2009,0,Scholz,3934.984,84.374,BIT,100.0,not reported,12,63.0,30.6689,-84.8869
643.0,340.0,1446964.0,0.5004530440287388,42.87999999999988,"['BIT', 'BIT']",2,2009,"['DFO', 'NG']",Lansing Smith,1444204.206,11173.088,NG,27.8645,not reported,12,5.0,30.2689,-85.7003
645.0,1822.5,8309942.0,0.5641377573513751,32.799999999999955,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,['NG'],Big Bend,8273354.515,8988.229,BIT,99.358,not reported,12,57.0,27.7944,-82.4036
663.0,250.7,1182488.0,0.5384,28.0,['BIT'],1,2009,['NG'],Deerhaven Generating Station,1286124.797,5815.849,BIT,88.0932,not reported,12,1.0,29.7586,-82.3883
676.0,363.8,1586177.0,0.4977,27.000000000000227,['BIT'],1,2009,"['NG', 'NG', 'NG', 'NG', 'NG']",C D McIntosh Jr,1584519.854,3874.841,BIT,50.6331,not reported,12,105.0,28.0809,-81.9256
703.0,3498.6,21538281.0,0.7041969259106611,35.86977648202151,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,['DFO'],Bowen,21528806.959,54811.219,BIT,99.9559,not reported,13,15.0,34.1256,-84.9192
708.0,953.0,3414849.0,0.42248469592652554,45.16474291710392,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Hammond,3402005.833,893.931,BIT,99.6239,not reported,13,115.0,34.2533,-85.3456
709.0,1746.2,6433027.0,0.4304025002848581,41.40808612988212,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Harllee Branch,6424339.176,60111.002,BIT,99.8649,not reported,13,237.0,33.1942,-83.2994
710.0,598.4,2072706.0,0.3973697351192113,45.5,"['BIT', 'BIT']",2,2009,0,Jack McDonough,2066954.196,15917.263,BIT,99.7264,not reported,13,67.0,33.8244,-84.475
727.0,163.2,20857.0,0.0146,45.0,['BIT'],1,2009,0,Mitchell,22178.64,226.968,BIT,100.0,not reported,13,95.0,31.4444,-84.1322
728.0,1487.3000000000002,4530191.0,0.35709453577122907,44.23122436630183,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT']",7,2009,0,Yates,4304454.384,45486.854,BIT,95.0171,not reported,13,77.0,33.4622,-84.8986
733.0,207.9,956829.0,0.5293254826097454,46.730158730158564,"['BIT', 'BIT', 'BIT']",3,2009,"['NG', 'NG']",Kraft,923977.316,7723.8717,BIT,92.6648,not reported,13,51.0,32.1486,-81.1458
753.0,12.5,147.0,0.0013,52.0,['BIT'],1,2009,['NG'],Crisp Plant,49.349,0.6294,NG,30.8431,not reported,13,321.0,31.8477,-83.9421
856.0,780.3,4892713.0,0.7160404120985637,40.52941176470563,"['SUB', 'SUB', 'SUB']",3,2009,0,E D Edwards,4887741.28,11734.455,SUB,99.8984,not reported,17,143.0,40.5958,-89.6631
861.0,1005.4,4218224.0,0.4812907002567905,39.7076785359061,"['SUB', 'SUB']",2,2009,0,Coffeen,4192342.071,13398.074,SUB,99.3864,not reported,17,135.0,39.0586,-89.4031
863.0,150.0,541237.0,0.4153097585715685,55.5,"['SUB', 'SUB']",2,2009,0,Hutsonville,537923.293,1900.275,SUB,99.3878,not reported,17,33.0,39.1333,-87.6597
864.0,354.3,530603.0,0.24805856242802998,52.73271239062956,"['BIT', 'BIT', 'SUB']",3,2009,0,Meredosia,522668.263,2145.878,SUB,99.9098,not reported,17,137.0,39.8194,-90.5647
867.0,597.4000000000001,2527963.0,0.4849772801658885,49.201707398728104,"['SUB', 'SUB']",2,2009,0,Crawford,2513845.734,7107.616,SUB,99.4416,not reported,17,31.0,41.8278,-87.7236
874.0,360.4,1310677.0,0.4152,50.0,['SUB'],1,2009,0,Joliet 9,1306539.344,3441.098,SUB,99.6843,not reported,17,197.0,41.4931,-88.1153
876.0,1319.0,6849578.0,0.5932583091104299,41.5,"['SUB', 'SUB']",2,2009,0,Kincaid Generation LLC,6843562.036,17041.651,SUB,99.9122,not reported,17,21.0,39.5906,-89.4964
879.0,1785.6,9334808.0,0.597471239044231,35.5,"['SUB', 'SUB']",2,2009,0,Powerton,9329690.058,22124.962,SUB,99.9452,not reported,17,179.0,40.5408,-89.6786
883.0,681.7,4171483.0,0.6986636584878807,48.915211970075234,"['SUB', 'SUB']",2,2009,0,Waukegan,4155872.096,11392.034,SUB,99.6172,not reported,17,97.0,42.3833,-87.8133
884.0,1268.8,5111395.0,0.46569280263020174,49.75535939470387,"['SUB', 'SUB', 'SUB', 'SUB']",4,2009,0,Will County,5079991.044,12602.65,SUB,99.3856,not reported,17,197.0,41.6334,-88.0626
886.0,374.0,1661258.0,0.5071,41.0,['SUB'],1,2009,0,Fisk Street,1653571.725,4220.049,SUB,99.514,not reported,17,31.0,41.8508,-87.6533
887.0,1099.8,7088313.0,0.7523617577835517,54.99999999999977,"['SUB', 'SUB', 'SUB', 'SUB', 'SUB', 'SUB']",6,2009,0,Joppa Steam,7088291.242,24238.0,SUB,99.9997,not reported,17,127.0,37.2103,-88.8606
889.0,1894.1,12185940.0,0.7418719229866552,36.320099255583045,"['SUB', 'SUB', 'SUB']",3,2009,0,Baldwin Energy Complex,12174302.595,24843.282,SUB,99.9045,not reported,17,157.0,38.205,-89.855
891.0,488.0,2022506.0,0.4731,31.0,['SUB'],1,2009,0,Havana,2017562.413,5017.757,SUB,99.7556,not reported,17,125.0,40.2797,-90.0775
892.0,306.3,2129126.0,0.7946838193230463,51.46914789422158,"['SUB', 'SUB']",2,2009,0,Hennepin Power Station,2125525.079,6165.299,SUB,99.8309,not reported,17,155.0,41.3017,-89.3136
897.0,182.3,646801.0,0.41490548623146845,53.40318156884268,"['SUB', 'SUB']",2,2009,0,Vermilion,642109.635,2079.454,SUB,99.2747,not reported,17,183.0,40.1781,-87.7481
898.0,500.1,3424004.0,0.7831707315762482,47.249550089981994,"['SUB', 'SUB']",2,2009,0,Wood River,3422978.156,9089.13,SUB,99.97,not reported,17,119.0,38.8639,-90.1325
963.0,667.7,1835615.0,0.38937526725375415,20.16159952074304,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Dallman,1825132.114,3199.532,BIT,99.4289,not reported,17,167.0,39.7539,-89.6011
976.0,272.0,1725194.0,0.7309822196808011,36.459558823529505,"['WC', 'WC', 'WC', 'BIT']",4,2009,0,Marion,1722750.133,7683.849,BIT,99.3419,not reported,17,199.0,37.6206,-88.955
981.0,613.8,2755906.0,0.9433221498120764,49.56484196806764,"['SUB', 'SUB', 'SUB', 'SUB']",4,2009,0,State Line Energy,2738592.149,9776.037,SUB,99.3718,not reported,18,89.0,41.7072,-87.5217
983.0,1303.2,8353045.0,0.7384700868126535,53.83333333333326,"['SUB', 'SUB', 'SUB', 'SUB', 'SUB', 'SUB']",6,2009,0,Clifty Creek,8346764.263,54475.969,SUB,99.9248,not reported,18,77.0,38.7383,-85.4192
988.0,1100.1,2675226.0,0.3163885574153361,50.42359785473991,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Tanners Creek,2664896.83,16442.281,SUB,99.6139,not reported,18,29.0,39.0831,-84.8581
990.0,698.0,3828379.0,0.6269313350115022,40.392120343839906,"['BIT', 'BIT', 'BIT']",3,2009,"['DFO', 'DFO']",Harding Street,3822163.861,23598.3429,BIT,99.7062,not reported,18,97.0,39.7119,-86.1975
991.0,301.6,1029491.0,0.4802746783604714,55.20159151193661,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,['DFO'],Eagle Valley,1022132.527,11091.3885,BIT,99.6297,not reported,18,109.0,39.4851,-86.4176
992.0,23.4,10269.449,0.17994698885013208,69.01709401709354,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,CC Perry K,8652.422,938.7227,BIT,84.254,not reported,18,97.0,39.7631,-86.1667
994.0,1872.8999999999999,11038883.0,0.6778714644316821,32.60558492177893,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,AES Petersburg,11020004.72,40129.1284,BIT,99.8285,not reported,18,125.0,38.5267,-87.2525
995.0,603.5,2388334.0,0.4623382496752967,42.892957746478714,"['BIT', 'BIT']",2,2009,['NG'],Bailly,2370042.991,4903.3947,BIT,99.2179,not reported,18,127.0,41.6433,-87.1225
996.0,383.5,0.0,0.0,46.342894393741744,"['SUB', 'SUB', 'SUB']",3,2009,['NG'],Dean H Mitchell,0.0,0.0085,NG,0.0,not reported,18,89.0,41.6394,-87.4069
997.0,540.0,2104822.0,0.445,35.0,['SUB'],1,2009,0,Michigan City,2094243.641,9429.895,SUB,99.5831,not reported,18,91.0,41.7203,-86.9097
1001.0,1062.0,5192306.0,0.5585508333291604,38.0,"['BIT', 'BIT']",2,2009,['NG'],Cayuga,5187509.224,2423.6027,BIT,99.8752,not reported,18,165.0,39.9239,-87.4272
1004.0,109.2,44055.0,0.059849783225513556,58.736263736263936,"['BIT', 'BIT']",2,2009,0,Edwardsport,41806.764,1427.258,BIT,100.0,not reported,18,83.0,38.8067,-87.2472
1008.0,600.0,1842199.0,0.36383287348435206,49.5,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,R Gallagher,1818721.056,26902.477,BIT,98.7255,not reported,18,43.0,38.2636,-85.8381
1010.0,1164.7,3345318.0,0.5663103885191184,43.4712801579808,"['BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT', 'BIT']",7,2009,0,Wabash River,3388351.6829,51134.8764,BIT,99.8563,not reported,18,167.0,39.53,-87.4247
1012.0,368.9,1545614.0,0.5089435370021235,37.96774193548367,"['BIT', 'BIT']",2,2009,0,F B Culley,1501386.524,2050.911,BIT,97.1385,not reported,18,173.0,37.91,-87.3267
1024.0,24.1,1127.0,0.006692546583850932,48.771784232365235,"['BIT', 'BIT']",2,2009,0,Crawfordsville,1127.0,42.004,BIT,100.0,not reported,18,107.0,40.0379,-86.8862
1032.0,43.0,128712.0,0.34563789390266647,47.511627906976855,"['BIT', 'BIT']",2,2009,0,Logansport,128712.0,664.3947,BIT,100.0,not reported,18,17.0,40.7592,-86.3581
1037.0,34.5,10303.0,0.04439198291759682,53.62318840579701,"['BIT', 'BIT']",2,2009,0,Peru,10245.843,169.4846,BIT,99.4452,not reported,18,103.0,40.7551,-86.0575
1040.0,93.9,185879.0,0.2441796243793005,42.32587859424916,"['BIT', 'BIT']",2,2009,0,Whitewater Valley,185341.296,3919.397,BIT,99.7107,not reported,18,177.0,39.8028,-84.8953
1043.0,233.2,1583267.0,0.7777190656408552,39.0,"['BIT', 'BIT']",2,2009,0,Frank E Ratts,1581228.058,23947.582,BIT,99.8712,not reported,18,125.0,38.5201,-87.2662
1046.0,81.2,134543.0,0.23167473298499364,58.01600985221694,"['SUB', 'SUB', 'SUB']",3,2009,0,Dubuque,127758.61,666.2873,SUB,94.9871,not reported,19,61.0,42.506,-90.6527
